Locality,count,mean,std,min,25%,50%,75%,max
Longwarry,23.0,371784.347826087,61376.4749740253,259000.0,345000.0,365000.0,387875.0,565000.0
Longwarry North,1.0,570000.0,,570000.0,570000.0,570000.0,570000.0,570000.0
Lower Plenty,18.0,1149972.2222222222,811064.1606632724,417500.0,712500.0,820000.0,1093000.0,3300000.0
Lynbrook,20.0,646300.0,73097.6995822066,495000.0,598750.0,635000.0,692500.0,810000.0
Lyndhurst,47.0,683557.4468085107,109141.78651142155,455000.0,625000.0,690000.0,749975.0,1036000.0
Lysterfield,33.0,1298281.8181818181,497834.7388030398,701000.0,985000.0,1162800.0,1450000.0,2550000.0
Lysterfield South,2.0,1300000.0,141421.35623730952,1200000.0,1250000.0,1300000.0,1350000.0,1400000.0
Macclesfield,5.0,911000.0,79246.4510246358,830000.0,840000.0,900000.0,985000.0,1000000.0
Macleod,64.0,943073.578125,258895.30022224892,630000.0,755750.0,838689.5,1088250.0,1571000.0
Maidstone,12.0,824975.0,120935.25033143675,606000.0,741025.0,845500.0,888000.0,1000000.0
Main Ridge,1.0,2300000.0,,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0
Malvern,10.0,3015500.0,1094741.0906490884,600000.0,2705000.0,3260000.0,3800000.0,4200000.0
Malvern East,34.0,1861328.1470588236,1055707.5039633913,790000.0,1318125.0,1494500.0,2075000.0,6065000.0
Manor Lakes,30.0,488540.6666666667,91513.02126806433,220000.0,437750.0,485500.0,528750.0,765000.0
Maribyrnong,16.0,1076437.5,332736.92686565465,494000.0,878750.0,1150000.0,1195250.0,1702000.0
Maryknoll,4.0,753125.0,167141.84345439455,601000.0,612625.0,750750.0,891250.0,910000.0
McKinnon,20.0,1766150.0,404713.8397748008,960000.0,1506000.0,1840000.0,2007500.0,2368000.0
McMahons Creek,2.0,225250.0,49143.92129246506,190500.0,207875.0,225250.0,242625.0,260000.0
Meadow Heights,46.0,464059.7826086957,89719.33373926913,289000.0,392500.0,470500.0,521500.0,703000.0
Melbourne,46.0,578239.1304347826,234212.9548350398,239000.0,442500.0,556000.0,659625.0,1310000.0
Melton,153.0,391556.3594771242,109511.32098114057,220000.0,325000.0,360000.0,420000.0,880000.0
Melton South,197.0,392081.9796954315,108493.68806355621,205000.0,335000.0,382500.0,425000.0,1300000.0
Melton West,293.0,417051.45733788394,79077.44794600506,190000.0,358300.0,415000.0,450000.0,730000.0
Mentone,47.0,1241306.1276595744,512562.86142539827,480000.0,922500.0,1051000.0,1508000.0,2948000.0
Menzies Creek,7.0,729642.8571428572,186449.43780323624,535000.0,597500.0,670000.0,837500.0,1032500.0
Mernda,193.0,565284.2020725389,108929.05389750628,322000.0,480000.0,560000.0,630000.0,970000.0
Merricks Beach,4.0,964625.0,207454.16160363393,750000.0,820125.0,949250.0,1093750.0,1210000.0
Merricks North,2.0,1540000.0,304055.9159102154,1325000.0,1432500.0,1540000.0,1647500.0,1755000.0
Mickleham,25.0,790200.0,585344.5566501836,335000.0,460000.0,545000.0,625000.0,2735000.0
Mill Park,115.0,693366.4173913044,169054.60321435975,316000.0,614000.0,675000.0,730000.0,1730000.0
Millgrove,27.0,360094.44444444444,114419.78407242119,225000.0,300000.0,341000.0,380750.0,860000.0
Mitcham,130.0,1000592.8,265216.8921113142,440000.0,842500.0,969500.0,1119500.0,2150000.0
Monbulk,36.0,699416.3333333334,153910.7788428088,470000.0,598125.0,701000.0,754375.0,1110000.0
Mont Albert,13.0,1809192.3076923077,427944.7753732142,1125000.0,1565000.0,1657000.0,2175000.0,2470000.0
Mont Albert North,26.0,1462418.7692307692,398999.0729304827,950000.0,1174500.0,1405000.0,1641375.0,2650000.0
Montmorency,70.0,899278.5714285715,225690.95237389745,450650.0,753500.0,858125.0,967500.0,1750000.0
Montrose,51.0,777283.0980392157,262044.04876449722,295000.0,632500.0,700000.0,814000.0,1700000.0
Moonee Ponds,43.0,1352313.953488372,420502.20857887546,645000.0,1095000.0,1305000.0,1450000.0,2600000.0
Moorabbin,26.0,1146615.3846153845,365979.2701149153,650000.0,965000.0,1112500.0,1289750.0,2600000.0
Moorooduc,4.0,1407500.0,527659.9283629562,950000.0,957500.0,1365000.0,1815000.0,1950000.0
Mooroolbark,217.0,728502.6313364055,156231.88788228098,350000.0,637500.0,710000.0,790000.0,1824000.0
Mordialloc,24.0,1236083.3333333333,342266.0948883849,392000.0,972250.0,1337500.0,1450000.0,1870000.0
Mornington,297.0,854603.7037037037,390669.3730080546,372500.0,610000.0,738000.0,950000.0,3365000.0
Mount Burnett,2.0,755000.0,162634.55967290592,640000.0,697500.0,755000.0,812500.0,870000.0
Mount Cottrell,1.0,1099000.0,,1099000.0,1099000.0,1099000.0,1099000.0,1099000.0
Mount Eliza,184.0,1353819.7717391304,737918.3359096475,260000.0,938775.0,1175000.0,1470000.0,5700000.0
Mount Evelyn,87.0,672210.8390804598,158387.37666482295,465000.0,585250.0,640500.0,697500.0,1365000.0
Mount Martha,203.0,917210.8374384237,327704.3923540042,438000.0,720000.0,845000.0,995500.0,2875000.0
Mount Waverley,229.0,1429667.7991266376,410744.32033926924,600000.0,1209500.0,1400000.0,1590000.0,3105000.0
Mulgrave,153.0,946287.4967320261,271608.0960592109,530000.0,830000.0,908000.0,1010000.0,2780000.0
Murrumbeena,21.0,1319680.9523809524,320797.23754896584,293500.0,1200000.0,1388000.0,1530000.0,1670000.0
Nangana,1.0,750000.0,,750000.0,750000.0,750000.0,750000.0,750000.0
Nar Nar Goon,7.0,569714.2857142857,207223.4818464631,292000.0,457500.0,505000.0,705000.0,866000.0
Nar Nar Goon North,5.0,1121200.0,541243.6604709565,595000.0,710000.0,960000.0,1451000.0,1890000.0
Narre Warren,229.0,593879.4978165939,92285.68278803922,355000.0,536000.0,595000.0,652000.0,853000.0
Narre Warren South,212.0,640088.570754717,145024.63558577365,390000.0,557000.0,615500.0,700400.0,1600000.0
Newport,51.0,1201931.3725490195,354999.71858591435,605000.0,958000.0,1126000.0,1382500.0,2200000.0
Niddrie,36.0,1006333.3333333334,281717.2594743075,585000.0,836250.0,957500.0,1204375.0,1751000.0
Noble Park,136.0,651952.9411764706,164146.50680105595,233000.0,529000.0,655000.0,725000.0,1320000.0
Noble Park North,28.0,654442.0,76802.25825769371,517000.0,606000.0,652400.0,691625.0,900000.0
North Warrandyte,9.0,1241000.0,273688.69176493207,791000.0,1110000.0,1299000.0,1451000.0,1520000.0
Northcote,21.0,1336642.857142857,509672.5209106614,370000.0,975000.0,1330000.0,1605000.0,2785000.0
Notting Hill,6.0,910833.3333333334,310759.9824087179,337000.0,868750.0,970000.0,1099750.0,1210000.0
Nunawading,76.0,1083643.2763157894,288732.34588883404,450000.0,892500.0,1008500.0,1244000.0,2000000.0
Oak Park,57.0,857046.8070175438,240103.83577225788,430000.0,700000.0,830000.0,925000.0,1530000.0
Oaklands Junction,5.0,934000.0,312277.921089532,650000.0,810000.0,825000.0,920000.0,1465000.0
Oakleigh,42.0,1156166.6666666667,398553.46164425404,535000.0,932500.0,1078500.0,1357750.0,2525000.0
Oakleigh East,34.0,1089473.5294117648,232552.3783409111,660000.0,906500.0,1043500.0,1284075.0,1620000.0
Oakleigh South,42.0,1086896.1666666667,258008.16719932898,531000.0,902500.0,1065000.0,1218250.0,1900000.0
Officer,95.0,539381.0,98547.8031686232,360500.0,477000.0,521000.0,587500.0,812000.0
Ormond,11.0,1512181.8181818181,290278.76883500046,981000.0,1392500.0,1470000.0,1709000.0,1920000.0
Pakenham,766.0,505313.315926893,116273.7271672501,225000.0,432000.0,485000.0,557320.0,1400000.0
Pakenham Upper,6.0,795000.0,201444.78151592807,510000.0,691250.0,770000.0,946250.0,1050000.0
Panton Hill,3.0,665666.6666666666,119625.80546576619,530000.0,620500.0,711000.0,733500.0,756000.0
Park Orchards,23.0,1476565.2173913044,367440.01688425976,875000.0,1254000.0,1421000.0,1736500.0,2277000.0
Parkdale,28.0,1307250.0,334083.22593607096,460000.0,1127500.0,1300000.0,1482500.0,2110000.0
Parkville,1.0,735000.0,,735000.0,735000.0,735000.0,735000.0,735000.0
Pascoe Vale,79.0,889828.4810126582,341536.56772752607,400000.0,672500.0,823000.0,972500.0,2435000.0
Pascoe Vale South,25.0,1061180.0,239560.83430588845,750000.0,885000.0,942000.0,1125000.0,1659000.0
Patterson Lakes,15.0,851733.3333333334,238821.9500161654,440000.0,715500.0,835000.0,892500.0,1370000.0
Pearcedale,15.0,747700.0,257535.00455555273,490000.0,524750.0,675000.0,935500.0,1185000.0
Pioneer Bay,3.0,294666.6666666667,27754.87945088815,265000.0,282000.0,299000.0,309500.0,320000.0
Plenty,9.0,1288500.0,506048.66366783343,642500.0,770000.0,1370000.0,1480000.0,2110000.0
Plumpton,27.0,586914.8148148148,126303.76601883773,345000.0,535000.0,570000.0,622750.0,1050000.0
Point Cook,240.0,642885.5708333333,121182.30276771857,380000.0,559300.0,630000.0,715000.0,1202500.0
Point Leo,1.0,1350000.0,,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0
Port Melbourne,11.0,1521272.7272727273,487613.3900764192,715000.0,1207000.0,1505000.0,1830000.0,2350000.0
Portsea,1.0,1615000.0,,1615000.0,1615000.0,1615000.0,1615000.0,1615000.0
Powelltown,3.0,385333.3333333333,22030.282189144407,360000.0,378000.0,396000.0,398000.0,400000.0
Prahran,8.0,1876875.0,575273.7081474472,1125000.0,1456500.0,1827500.0,2366000.0,2635000.0
Preston,74.0,1007787.5135135135,325621.5891633943,362000.0,871457.0,985000.0,1095500.0,3000000.0
Preston South,1.0,617500.0,,617500.0,617500.0,617500.0,617500.0,617500.0
Red Hill,9.0,944166.6666666666,483777.7123845207,540000.0,751000.0,820000.0,852500.0,2190000.0
Red Hill South,3.0,1306666.6666666667,535288.0844305553,860000.0,1010000.0,1160000.0,1530000.0,1900000.0
Reefton,1.0,350000.0,,350000.0,350000.0,350000.0,350000.0,350000.0
Research,10.0,1344550.0,520531.05628344166,571500.0,935000.0,1505000.0,1789500.0,1925000.0
Reservoir,231.0,826076.8398268399,231679.57115277793,360000.0,685750.0,815000.0,912000.0,2052000.0
Richmond,32.0,1308484.375,488543.51482443826,490000.0,1090250.0,1237500.0,1334250.0,3200000.0
Ringwood,138.0,956354.1739130435,349447.3873547762,320000.0,732750.0,889250.0,1123750.0,2850000.0
Ringwood East,104.0,889977.7211538461,266801.33303674404,522000.0,680000.0,860000.0,1060000.0,2350000.0
Ringwood North,61.0,984645.0983606557,253713.99939155276,452000.0,845000.0,950000.0,1085000.0,2010750.0
Rockbank,12.0,508041.6666666667,85991.6640604122,346500.0,466750.0,484000.0,578750.0,650000.0
Rosanna,44.0,1210625.0,354956.61583904445,572500.0,1030000.0,1162500.0,1331625.0,2500000.0
Rosebud,257.0,594790.8560311284,152269.6274295882,337000.0,500000.0,570000.0,655000.0,1550000.0
Rowville,166.0,905937.3795180722,202242.041540285,566000.0,770522.0,860000.0,980582.75,1935000.0
Roxburgh Park,126.0,551192.9365079365,120631.169299265,335000.0,465000.0,532000.0,610000.0,982500.0
Rye,229.0,718803.1484716157,212012.2739558792,375000.0,574000.0,675000.0,810000.0,2270000.0
Safety Beach,87.0,872751.724137931,430273.7246981245,379250.0,664750.0,761000.0,856250.0,2900000.0
Sanctuary Lakes,40.0,735922.2,180637.43673307987,420000.0,597500.0,702500.0,831000.0,1180000.0
Sandhurst,61.0,769941.6393442623,154898.78925909795,535000.0,680000.0,751000.0,830000.0,1365000.0
Sandringham,23.0,1920195.652173913,884065.4379719868,770000.0,1520500.0,1712500.0,2157500.0,4680000.0
Sassafras,5.0,709850.0,97895.2884463803,596000.0,610000.0,775000.0,776250.0,792000.0
